Lab 02 (820171),Lab 03 (820172),Lab 04 (820173),Lab 05 (820174),Lab 06 (820175),Lab 07 (820176),Lab 08 (820177),Lab 09 (820178),Lab 10 (820179),Lab 11 (820180),Lab 12 (820181),Lab 13 (820182),Lab 14 (820183),Lab 15 (820184),Lab 16 (820185),Lab 17 (820186),Lab 20 (820189),Lab 21 (820190),Lab 22 (820187),Lab 23 (820188),Homework 1 (820163),Homework 2 (820164),Homework 3 (820165),Homework 4 (820211),Homework 5 (820166),Homework 6 (820167),Homework 7 (820168),Project 1 (820193),Project 2A (820194),Project 2B (820195),Project 3 (820196),Project 4 (820197),Midterm 1 (820191),Midterm 2 (820192),Final Exam (820162)
20,20,20,20,20,20,20,20,20,14.5,20,20,20,20,20,20,20,20,20,20,40,50,50,50,50,50,50,100,50,50,100,75,40,44,55
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,37,44,44
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,50,100,50,50,100,100,40,44,63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,24,43,46
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,38,43,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,37,43,51
20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,38,40,48
20,20,20,12.83,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,50,50,50,100,50,50,100,75,37,43,58
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,50,50,22,50,50,50,34,100,50,50,71.16,100,38,42,61
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,32,36,44
20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,0,20,20,20,35,50,50,50,26.96,50,50,80,50,50,100,25,32,38,46.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,39,45,56
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,36.5,40,50
20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,75,50,50,100,50,34,39,53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,38.5,44,47
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,32,50,50,50,100,50,50,100,50,35,44,50
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,30,45,56
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,39,44,56
20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,0,0,0,50,50,50,50,50,0,50,45,100,50,19,20,37
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,100,50,50,100,15,35,45,49
