Homework 1,Homework 2,Homework 3,Lab 02,Lab 03,Lab 04,Lab 05,Lab 06,Lab 07,Lab 08,Lab 09,Lab 10,Project 1,Project 2A,Midterm 1,Midterm 1 Grade
20,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,26.0,D
50,50,50,20.0,20.0,20,20.0,0,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,44,20.0,20.0,20,19.89,20,20,20,20,20,100,50.0,30.0,C
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,19.98,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,45.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,0.0,20,20,20,20,20,80,50.0,37.5,A-
50,50,50,20.0,20.0,20,20.0,20,0,20,20,20,100,50.0,38.0,A
30,50,50,20.0,0.0,20,11.0,7,20,20,20,20,100,50.0,35.0,B+
35,50,50,20.0,20.0,20,8.6,20,20,20,20,20,100,20.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.0,B
50,50,50,20.0,0.0,0,0.0,0,0,14,0,0,95,50.0,39.0,A+
30,50,50,0.0,20.0,20,20.0,20,20,20,0,20,100,50.0,40.0,A+
50,50,47,20.0,20.0,20,20.0,0,20,0,20,20,100,45.0,37.5,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,31.5,C+
50,50,50,0.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,0.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,0,20.0,20.0,20,20.0,20,20,0,20,20,100,50.0,31.0,C+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,0,100,50.0,39.0,A+
50,50,50,0.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
0,0,18,20.0,20.0,20,20.0,20,20,20,20,20,0,50.0,31.0,C+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,0,0,20.0,20.0,20,20.0,0,0,20,20,20,75,50.0,30.0,C
