Lab 02 (820171),Lab 03 (820172),Lab 04 (820173),Lab 05 (820174),Lab 06 (820175),Lab 07 (820176),Lab 08 (820177),Lab 09 (820178),Lab 10 (820179),Lab 11 (820180),Lab 12 (820181),Lab 13 (820182),Lab 14 (820183),Lab 15 (820184),Lab 16 (820185),Lab 17 (820186),Lab 20 (820189),Lab 21 (820190),Lab 22 (820187),Lab 23 (820188),Homework 1 (820163),Homework 2 (820164),Homework 3 (820165),Homework 4 (820211),Homework 5 (820166),Homework 6 (820167),Homework 7 (820168),Project 1 (820193),Project 2A (820194),Project 2B (820195),Project 3 (820196),Project 4 (820197),Extra Credit (838909),Midterm 1 (820191),Midterm 2 (820192),Final Exam (820162),Free Coding (10 pts) (840138),Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Assessments Current Score,Assessments Unposted Current Score,Assessments Final Score,Assessments Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,Homework Current Score,Homework Unposted Current Score,Homework Final Score,Homework Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Midterm 1 Current Score,Midterm 1 Unposted Current Score,Midterm 1 Final Score,Midterm 1 Unposted Final Score,Midterm 2 Current Score,Midterm 2 Unposted Current Score,Midterm 2 Final Score,Midterm 2 Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,50,50,50,50,50,50,50,100,50,50,99.98,100,,27,36,46.5,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,99.99,99.99,99.99,99.99,67.5,67.5,67.5,67.5,90,90,90,90,72.66,72.66,72.66,72.66,,,0,0,,,,,88.15,88.15,88.15,88.15,B+,B+,B+,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,0,,31,39,50,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,75,75,75,75,77.5,77.5,77.5,77.5,97.5,97.5,97.5,97.5,78.13,78.13,78.13,78.13,,,0,0,,,,,85.63,85.63,85.63,85.63,B,B,B,B
20,0,20,20,20,20,20,20,20,18.5,20,20,5,10,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,39,45,57,,,,0,0,100,100,100,100,96.81,96.81,96.81,96.81,100,100,100,100,100,100,100,100,97.5,97.5,97.5,97.5,112.5,112.5,112.5,112.5,89.06,89.06,89.06,89.06,,,0,0,,,,,98.83,98.83,98.83,98.83,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,50,50,50,50,50,50,50,100,50,50,97.91,25,,38,45,41,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,80.73,80.73,80.73,80.73,95,95,95,95,112.5,112.5,112.5,112.5,64.06,64.06,64.06,64.06,,,0,0,,,,,89.12,89.12,89.12,89.12,B+,B+,B+,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,100,37.5,50,84.11,100,,30.5,39,51,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,92.9,92.9,92.9,92.9,76.25,76.25,76.25,76.25,97.5,97.5,97.5,97.5,79.69,79.69,79.69,79.69,,,0,0,,,,,90.23,90.23,90.23,90.23,A-,A-,A-,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,0,20,50,0,50,0,50,50,0,100,50,50,46.19,0,,35,41,53,,,,0,0,100,100,100,100,100,100,100,100,66.67,66.67,66.67,66.67,61.55,61.55,61.55,61.55,87.5,87.5,87.5,87.5,102.5,102.5,102.5,102.5,82.81,82.81,82.81,82.81,,,0,0,,,,,82.12,82.12,82.12,82.12,B-,B-,B-,B-
20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,10,20,20,50,50,50,50,50,50,50,95,50,50,100,50,,29.5,45,47,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,86.25,86.25,86.25,86.25,73.75,73.75,73.75,73.75,112.5,112.5,112.5,112.5,73.44,73.44,73.44,73.44,,,0,0,,,,,89.19,89.19,89.19,89.19,B+,B+,B+,B+
20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,0,20,0,50,50,50,50,50,50,50,100,50,50,100,75,,36,42,55.5,,,,0,0,100,100,100,100,94.44,94.44,94.44,94.44,100,100,100,100,93.75,93.75,93.75,93.75,90,90,90,90,105,105,105,105,86.72,86.72,86.72,86.72,,,0,0,,,,,94.2,94.2,94.2,94.2,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,39,45,56,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,97.5,97.5,97.5,112.5,112.5,112.5,112.5,87.5,87.5,87.5,87.5,,,0,0,,,,,99,99,99,99,A,A,A,A
0,20,20,0,20,0,20,20,0,20,20,20,20,0,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,75,,32,41,47.5,,,,0,0,0,0,0,0,83.33,83.33,83.33,83.33,100,100,100,100,93.75,93.75,93.75,93.75,80,80,80,80,102.5,102.5,102.5,102.5,74.22,74.22,74.22,74.22,,,0,0,,,,,88.16,88.16,88.16,88.16,B+,B+,B+,B+
